Year,5%,Mean,95%
2015.00,1.36542,4.03593,7.79753
2016.00,1.49507,3.75224,7.64911
2017.00,1.08404,3.73094,7.19409
2018.00,1.39351,3.64167,6.50736
2019.00,0.839419,3.19024,7.00812
2020.00,0.642491,3.16122,6.63907
2021.00,0.962727,3.00510,6.70576
2022.00,0.779168,2.94148,6.08736
2023.00,0.726692,3.08696,5.88180
2024.00,0.610595,3.03588,6.58221
2025.00,0.546085,2.82659,6.46341
2026.00,0.525969,2.88225,6.50923
2027.00,0.605941,3.05350,6.83958
2028.00,0.521532,2.89366,6.74052
2029.00,0.393072,2.75335,6.65169
2030.00,0.579507,2.77454,6.14998
2031.00,0.476741,2.83524,6.35005
2032.00,0.330826,2.77467,6.23617
2033.00,0.492870,2.53229,6.70076
2034.00,0.248888,2.49243,6.46812
2035.00,0.442025,2.54674,7.11918
2036.00,0.210728,2.50967,6.68082
2037.00,0.217436,2.31139,6.59964
2038.00,0.223183,2.35464,6.28002
2039.00,0.246247,2.30323,6.25308
2040.00,0.298748,2.30179,6.01802
2041.00,0.210010,2.11866,5.91168
2042.00,0.223606,2.04280,5.77367
2043.00,0.211755,2.25252,6.71324
2044.00,0.285796,2.06128,6.23515
2045.00,0.232796,2.10232,6.96382
2046.00,0.0982167,1.95324,6.36380
2047.00,0.141710,2.05377,6.38069
2048.00,0.164773,2.12939,6.21844
2049.00,0.209768,2.12044,6.28041
2050.00,0.198918,2.07463,6.17639
2051.00,0.0866319,2.03666,6.15421
2052.00,0.0728554,2.09571,5.60096
2053.00,0.0519405,2.05042,5.68579
2054.00,0.0656853,1.91303,6.11698
2055.00,0.113634,1.97005,6.35626
2056.00,0.160659,1.83335,5.84616
2057.00,0.118757,1.85205,5.68871
2058.00,0.0527456,1.71916,6.07644
2059.00,0.0430994,1.84392,5.71732
2060.00,0.0333299,1.70069,5.73550
2061.00,0.0567113,1.94371,6.12919
2062.00,0.0969097,1.85036,5.62691
2063.00,0.0794743,1.80037,6.02852
2064.00,0.0995097,1.80110,5.88201
2065.00,0.179812,1.66312,5.08322
2066.00,0.0874785,1.71936,5.97614
2067.00,0.0762584,1.65271,5.75280
2068.00,0.0956576,1.65034,5.58574
2069.00,0.0738949,1.76153,5.72942
2070.00,0.0535857,1.74556,5.54961
2071.00,0.0343139,1.51243,5.01533
2072.00,0.0626693,1.64265,5.19287
2073.00,0.0927959,1.94348,5.56883
2074.00,0.0554913,1.78496,5.79096
2075.00,0.0420134,1.80013,5.61549
2076.00,0.0491488,1.72558,5.47111
2077.00,0.0239570,1.77366,5.51719
2078.00,0.0236263,1.75166,5.86974
2079.00,0.0589815,1.74277,5.85879
2080.00,0.0329352,1.74507,5.42369
2081.00,0.0357553,1.72398,5.55393
2082.00,0.0228416,1.74344,5.74326
2083.00,0.0307784,1.57268,5.39803
2084.00,0.0325250,1.68500,5.72879
2085.00,0.0140338,1.81561,6.22677
2086.00,0.0317487,1.89735,6.38526
2087.00,0.0221523,1.64280,6.03486
2088.00,0.0104514,1.83314,6.33002
2089.00,0.00930066,1.68746,6.01526
2090.00,0.0802649,1.81133,5.86306
2091.00,0.0478270,1.75290,5.86576
2092.00,0.0473006,1.64650,5.51780
2093.00,0.0339424,2.00529,6.29310
2094.00,0.0285321,1.81288,6.36268
2095.00,0.0273259,1.69831,6.00584
2096.00,0.0501019,1.86196,6.25183
2097.00,0.0342934,1.55326,5.73276
2098.00,0.0628184,1.63020,6.30407
2099.00,0.0293249,1.77640,6.17397
